Time,CpuTime (minutes),Memory (MB),CPU_Percentage
2025-03-14 11:28:00,0.00,0.00,0.00
2025-03-14 11:33:00,0.00,0.00,0.00
2025-03-14 11:38:00,0.00,0.00,0.00
2025-03-14 11:43:00,0.00,0.00,0.00
2025-03-14 11:48:00,0.00,0.00,0.00
2025-03-14 11:53:00,0.00,0.00,0.00
2025-03-14 11:58:00,0.00,0.00,0.00
2025-03-14 12:03:00,0.00,0.00,0.00
2025-03-14 12:08:00,0.00,0.00,0.00
2025-03-14 12:13:00,0.00,0.00,0.00
2025-03-14 12:18:00,0.00,0.00,0.00
2025-03-14 12:23:00,0.00,0.00,0.00
2025-03-14 12:28:00,0.00,0.00,0.00
2025-03-14 12:33:00,0.00,0.00,0.00
2025-03-14 12:38:00,0.00,0.00,0.00
2025-03-14 12:43:00,0.00,0.00,0.00
2025-03-14 12:48:00,0.00,0.00,0.00
2025-03-14 12:53:00,0.00,0.00,0.00
2025-03-14 12:58:00,0.00,0.00,0.00
2025-03-14 13:03:00,0.00,0.00,0.00
2025-03-14 13:08:00,0.00,0.00,0.00
2025-03-14 13:13:00,0.00,0.00,0.00
2025-03-14 13:18:00,0.00,0.00,0.00
2025-03-14 13:23:00,0.00,0.00,0.00
2025-03-14 13:28:00,0.00,0.00,0.00
2025-03-14 13:33:00,0.00,0.00,0.00
2025-03-14 13:38:00,0.00,0.00,0.00
2025-03-14 13:43:00,0.00,0.00,0.00
2025-03-14 13:48:00,0.00,0.00,0.00
2025-03-14 13:53:00,0.00,0.00,0.00
2025-03-14 13:58:00,0.00,0.00,0.00
2025-03-14 14:03:00,0.00,0.00,0.00
2025-03-14 14:08:00,0.00,0.00,0.00
2025-03-14 14:13:00,0.00,0.00,0.00
2025-03-14 14:18:00,0.00,0.00,0.00
2025-03-14 14:23:00,0.00,0.00,0.00
2025-03-14 14:28:00,0.00,0.00,0.00
2025-03-14 14:33:00,0.00,0.00,0.00
2025-03-14 14:38:00,0.00,0.00,0.00
2025-03-14 14:43:00,0.00,0.00,0.00
2025-03-14 14:48:00,0.00,0.00,0.00
2025-03-14 14:53:00,0.00,0.00,0.00
2025-03-14 14:58:00,0.00,0.00,0.00
2025-03-14 15:03:00,0.00,0.00,0.00
2025-03-14 15:08:00,0.00,0.00,0.00
2025-03-14 15:13:00,0.00,0.00,0.00
2025-03-14 15:18:00,0.00,0.00,0.00
2025-03-14 15:23:00,0.00,0.00,0.00
2025-03-14 15:28:00,0.00,0.00,0.00
2025-03-14 15:33:00,0.00,0.00,0.00
2025-03-14 15:38:00,0.00,0.00,0.00
2025-03-14 15:43:00,0.00,0.00,0.00
2025-03-14 15:48:00,0.00,0.00,0.00
2025-03-14 15:53:00,0.00,0.00,0.00
2025-03-14 15:58:00,0.00,0.00,0.00
2025-03-14 16:03:00,0.00,0.00,0.00
2025-03-14 16:08:00,0.00,0.00,0.00
2025-03-14 16:13:00,0.00,0.00,0.00
2025-03-14 16:18:00,0.00,0.00,0.00
2025-03-14 16:23:00,0.00,0.00,0.00
2025-03-14 16:28:00,0.00,0.00,0.00
2025-03-14 16:33:00,0.00,0.00,0.00
2025-03-14 16:38:00,0.00,0.00,0.00
2025-03-14 16:43:00,0.00,0.00,0.00
2025-03-14 16:48:00,0.00,0.00,0.00
2025-03-14 16:53:00,0.00,0.00,0.00
2025-03-14 16:58:00,0.00,0.00,0.00
2025-03-14 17:03:00,0.00,0.00,0.00
2025-03-14 17:08:00,0.00,0.00,0.00
2025-03-14 17:13:00,0.00,0.00,0.00
2025-03-14 17:18:00,0.00,0.00,0.00
2025-03-14 17:23:00,0.00,0.00,0.00
