Time,CpuPercentage,MemoryPercentage
2025-03-23 10:16:00,94.00,67.00
2025-03-23 10:21:00,89.20,74.00
2025-03-23 10:26:00,30.80,76.20
2025-03-23 10:31:00,32.60,77.80
2025-03-23 10:36:00,30.40,77.00
2025-03-23 10:41:00,30.00,76.40
2025-03-23 10:46:00,28.60,77.40
2025-03-23 10:51:00,29.00,76.20
2025-03-23 10:56:00,29.00,76.60
2025-03-23 11:01:00,30.40,75.20
2025-03-23 11:06:00,28.00,75.40
2025-03-23 11:11:00,29.80,76.60
2025-03-23 11:16:00,29.00,76.00
2025-03-23 11:21:00,28.00,76.00
2025-03-23 11:26:00,27.40,75.80
2025-03-23 11:31:00,30.40,75.40
2025-03-23 11:36:00,29.00,75.20
